iter	MultiClass
0	1.31242574
1	1.248621883
2	1.19193256
3	1.134614177
4	1.0855716
5	1.042922956
6	1.004645795
7	0.9665726017
8	0.9332348168
9	0.9040333733
10	0.8759727666
11	0.8499180515
12	0.8247231011
13	0.8007523759
14	0.7794881307
15	0.7579922018
16	0.7403265219
17	0.721190569
18	0.7046582606
19	0.6889460391
20	0.6737064286
21	0.6598866978
22	0.6471705477
23	0.6348910175
24	0.6208505439
25	0.6094291197
26	0.5997354991
27	0.5875058104
28	0.5777905539
29	0.5674793154
30	0.5578822036
31	0.5479149242
32	0.5388083178
33	0.5307336034
34	0.5218122273
35	0.5151065569
36	0.5079480974
37	0.5005749428
38	0.494983725
39	0.4893358193
40	0.4831496303
41	0.4776926608
42	0.4725326516
43	0.4675298921
44	0.4630756194
45	0.4570644063
46	0.4518966435
47	0.4479437181
48	0.4430289836
49	0.439394709
50	0.4347386776
51	0.4301086622
52	0.4265844726
53	0.4231121418
54	0.4188828148
55	0.4154307337
56	0.411667682
57	0.4083393011
58	0.4050066909
59	0.4032207089
60	0.4002189495
61	0.397430391
62	0.3943444085
63	0.3914486002
64	0.3886300656
65	0.3859788027
66	0.3831290975
67	0.381169061
68	0.3795871653
69	0.3761756331
70	0.3730263215
71	0.3715706842
72	0.3693987355
73	0.3668560458
74	0.3649520167
75	0.3629896869
76	0.3611258639
77	0.3578282837
78	0.3548627155
79	0.3536343815
80	0.3520232656
81	0.3497995933
82	0.3470978504
83	0.3453594434
84	0.3438966591
85	0.3407687011
86	0.3395591493
87	0.3382853702
88	0.3359332524
89	0.3340171822
90	0.3321817791
91	0.3305743662
92	0.3290213576
93	0.3274036669
94	0.3262958184
95	0.3244331658
96	0.3226943512
97	0.3208516225
98	0.3187376893
99	0.3163350522
100	0.3151573008
101	0.3131806475
102	0.312563929
103	0.3109600874
104	0.3084742193
105	0.3080044203
106	0.3058091255
107	0.3047104796
108	0.3036867595
109	0.3022653736
110	0.3013878699
111	0.3004487463
112	0.2986466538
113	0.2976302768
114	0.2965673547
115	0.2947996071
116	0.2940687041
117	0.2922009139
118	0.2911741898
119	0.2905995686
120	0.288906086
121	0.2877970192
122	0.2864591195
123	0.2844656929
124	0.2836638263
125	0.2826985033
126	0.2812453415
127	0.2800558194
128	0.2787088867
129	0.2776947437
130	0.2768843516
131	0.2756178558
132	0.274881684
133	0.2737846636
134	0.2729254651
135	0.2720669786
136	0.2710823523
137	0.2700944344
138	0.2685900631
139	0.2675383187
140	0.266663842
141	0.2658429904
142	0.2647190624
143	0.2636862595
144	0.2628906973
145	0.2619333531
146	0.2607439286
147	0.2594301723
148	0.2587209211
149	0.2578692129
150	0.2572435041
151	0.2563146624
152	0.2557770562
153	0.2548654142
154	0.2538270511
155	0.2523809238
156	0.2516526171
157	0.2505525301
158	0.2491482401
159	0.2487414134
160	0.2482712972
161	0.2478145759
162	0.2469356016
163	0.2457876502
164	0.2450789418
165	0.2445098891
166	0.2439148091
167	0.2429103523
168	0.2417576122
169	0.2412266657
170	0.2403907367
171	0.2397677078
172	0.2390257331
173	0.23794289
174	0.2371810669
175	0.2361838972
176	0.235569431
177	0.2347934881
178	0.2342061111
179	0.2330934697
180	0.2325047413
181	0.2321573384
182	0.2313556701
183	0.230392197
184	0.229632297
185	0.2292721495
186	0.2283531081
187	0.2278521477
188	0.2267541073
189	0.2261533447
190	0.2252449788
191	0.2243127629
192	0.2237985544
193	0.223308459
194	0.222528347
195	0.22171579
196	0.2209230927
197	0.2202890018
198	0.2198263391
199	0.2189852639
200	0.2183701022
201	0.2179708279
202	0.2173414903
203	0.2166916685
204	0.216079164
205	0.2150496689
206	0.2145580785
207	0.214056892
208	0.2135756715
209	0.2129121068
210	0.2122024237
211	0.2114251426
212	0.2108065431
213	0.2102393093
214	0.2093916417
215	0.2088629629
216	0.2082601984
217	0.207681506
218	0.2070979705
219	0.2063006549
220	0.2059193019
221	0.2050663764
222	0.2047073588
223	0.203840131
224	0.2032776493
225	0.2027802371
226	0.2023737829
227	0.2019263722
228	0.2012175794
229	0.2006918674
230	0.2001868673
231	0.1997815345
232	0.1991308283
233	0.1985593714
234	0.197925805
235	0.1974862679
236	0.1971154849
237	0.1966434149
238	0.1960598448
239	0.1955655593
240	0.1949990008
241	0.1947740313
242	0.1942348267
243	0.1935278169
244	0.1929631626
245	0.1924409262
246	0.1919948568
247	0.191629883
248	0.1908157555
249	0.1903351909
250	0.1898684472
251	0.1893595836
252	0.1888687081
253	0.1882924071
254	0.1879994263
255	0.1873636052
256	0.1869524221
257	0.1864300604
258	0.1861022723
259	0.1856054399
260	0.1853635288
261	0.1851478733
262	0.1845155256
263	0.1841473557
264	0.1836818467
265	0.1833818635
266	0.1829265491
267	0.1822600955
268	0.1818439084
269	0.1813946062
270	0.1810394019
271	0.1805751465
272	0.1800572991
273	0.1797387798
274	0.1793197478
275	0.1790029744
276	0.1787476847
277	0.1780939322
278	0.1777630333
279	0.1772488785
280	0.1768074526
281	0.1764783167
282	0.1760431126
283	0.1755671732
284	0.1750193362
285	0.1746049481
286	0.1741385018
287	0.1737575217
288	0.1732265364
289	0.1728106387
290	0.172437593
291	0.1720575368
292	0.1716651123
293	0.1711122609
294	0.1708941146
295	0.1706690245
296	0.1703740246
297	0.1701463587
298	0.1698021721
299	0.169507647
