iter	Passed	Remaining
0	2	821
1	5	759
2	7	782
3	10	759
4	12	757
5	15	750
6	18	759
7	20	752
8	23	746
9	25	750
10	28	750
11	31	754
12	34	759
13	37	772
14	40	774
15	43	779
16	46	776
17	49	773
18	51	767
19	54	763
20	57	759
21	60	759
22	63	762
23	66	764
24	69	759
25	71	756
26	74	752
27	78	758
28	81	759
29	84	757
30	86	752
31	89	749
32	91	744
33	94	739
34	98	742
35	100	737
36	103	732
37	105	729
38	108	726
39	111	724
40	114	722
41	117	719
42	119	716
43	122	713
44	125	710
45	128	707
46	130	703
47	133	700
48	136	698
49	139	696
50	142	693
51	144	691
52	147	688
53	150	686
54	153	683
55	155	679
56	158	676
57	161	673
58	164	671
59	166	667
60	169	663
61	172	660
62	174	657
63	177	655
64	180	652
65	183	649
66	185	646
67	188	643
68	191	640
69	194	637
70	197	635
71	199	632
72	202	629
73	205	626
74	208	624
75	211	622
76	213	619
77	216	616
78	219	613
79	221	609
80	224	607
81	227	604
82	230	601
83	233	599
84	235	596
85	238	594
86	241	590
87	244	588
88	247	586
89	250	583
90	252	580
91	255	577
92	258	574
93	260	571
94	263	569
95	266	566
96	269	563
97	271	560
98	274	557
99	277	554
100	280	552
101	283	550
102	288	551
103	290	548
104	293	545
105	296	542
106	299	539
107	303	538
108	305	536
109	308	533
110	311	530
111	314	527
112	317	524
113	319	521
114	322	519
115	325	515
116	328	513
117	330	510
118	333	507
119	336	504
120	339	501
121	341	498
122	344	496
123	347	493
124	350	490
125	352	487
126	355	484
127	358	481
128	361	478
129	363	475
130	366	472
131	368	469
132	371	466
133	374	463
134	376	460
135	379	457
136	382	455
137	385	452
138	388	449
139	391	446
140	394	444
141	396	441
142	399	438
143	402	436
144	405	433
145	408	430
146	411	428
147	413	425
148	416	422
149	419	419
150	422	416
151	425	413
152	427	411
153	430	408
154	433	405
155	436	402
156	439	400
157	442	397
158	444	394
159	447	391
160	450	389
161	453	386
162	456	383
163	458	380
164	461	377
165	464	374
166	466	371
167	469	369
168	472	366
169	475	363
170	478	361
171	481	358
172	484	355
173	487	352
174	490	350
175	493	347
176	496	344
177	498	341
178	501	339
179	504	336
180	506	333
181	509	330
182	512	327
183	515	324
184	518	322
185	520	319
186	523	316
187	526	313
188	529	310
189	531	307
190	535	305
191	538	303
192	541	300
193	543	297
194	546	294
195	549	291
196	551	288
197	555	285
198	557	283
199	560	280
200	563	277
201	566	274
202	568	271
203	572	269
204	576	266
205	579	264
206	582	261
207	584	258
208	587	255
209	589	252
210	592	249
211	595	247
212	598	244
213	601	241
214	604	238
215	606	236
216	609	233
217	612	230
218	615	227
219	617	224
220	621	221
221	624	219
222	627	216
223	630	213
224	633	211
225	636	208
226	639	205
227	641	202
228	644	199
229	647	197
230	650	194
231	652	191
232	655	188
233	658	185
234	660	182
235	663	179
236	666	177
237	669	174
238	672	171
239	675	168
240	677	165
241	680	163
242	683	160
243	685	157
244	688	154
245	690	151
246	693	148
247	696	145
248	698	143
249	702	140
250	705	137
251	708	134
252	711	132
253	713	129
254	716	126
255	719	123
256	722	120
257	726	118
258	728	115
259	731	112
260	733	109
261	736	106
262	739	104
263	742	101
264	745	98
265	748	95
266	751	92
267	754	90
268	756	87
269	759	84
270	761	81
271	764	78
272	767	75
273	770	73
274	773	70
275	776	67
276	778	64
277	781	61
278	784	59
279	787	56
280	789	53
281	792	50
282	795	47
283	798	44
284	801	42
285	803	39
286	806	36
287	809	33
288	812	30
289	815	28
290	817	25
291	820	22
292	823	19
293	826	16
294	829	14
295	832	11
296	834	8
297	837	5
298	840	2
299	843	0
