LOC,NAME,CODETX,MFG,SER,KV,MVA,YEAR_Energized,Sample Day,Tested day,O2,N2,CO2,CO,H2,CH4,C2H2,C2H4,C2H6,C3H6,C3H8,TCG,TEMP,WATER,NB,
KTL,KT1A,KTLKT1A,VOLTA WERKE,60539-003,115/22,25,1993,11/12/2023,14/12/2023,9731,34141,1038,186,133,76,98,47,23,22,12,597,34,10,หลัง TRIP เมื่อวันที่ 10/12/52 (15.30),
PHG,KT1A,PHGKT1A,JEUMONT,92199,230/115/22,200,1995,14/09/2019,14/09/2019,2914,22736,2546,147,750,388,954,386,85,95,19,2824,28,7,Bushing LowSide Phase.C ระเบิด,
BLG,KT1A,BLGKT1A,ELIN,535959,107/34.85,8,1977,06/09/2019,18/10/2019,9622,50112,5741,401,17,21,95,47,14,21,0,616,58,26,-,
BLG,KT1A,BLGKT1A,ELIN,535959,107/34.85,8,1977,26/06/2023,17/07/2023,19995,55072,7760,36,7,1,9,8,3,2,7,73,38,17,ค่า p.f สูง,
SR2,KT1A,SR2KT1A,MITSUBISHI,573077,115/22,40,1998,10/02/2020,22/02/2020,4125,23868,2565,113,302,278,893,276,557,73,335,2827,-,23,Research เก็บน้ำมันก่อนที่จะทำการตัดกระดาษ,
BK,KT3A,BKKT3A,ABB,7853996,230/72.5/22,300,2012,04/08/2021,04/08/2021,3026,21868,5268,1019,148,158,82,165,20,112,8,1712,,8,Bouchholz relay Trip(พบสาย Lead Bushing Neutral ขาดลง tank),
BK,KT3A,BKKT3A,ABB,7853996,230/72.5/22,300,2012,03/08/2021,04/08/2021,11898,68012,3855,1514,273,54,80,114,19,84,2,2140,,8,Buchholz and Sudden pressure RelayTrip,
BK,KT3A,BKKT3A,ABB,7853996,230/72.5/22,300,2012,07/11/2021,19/11/2021,32554,58384,1828,123,7,0,8,19,9,0,0,166,49,5,,
BLG,KT1A,BLGKT1A,ELIN,535959,107/34.85,8,1977,28/07/2023,18/11/2023,23270,37090,5053,72,10,4,8,19,3,5,3,124,33,27,,
BLG,KT1A,BLGKT1A,ELIN,535959,107/34.85,8,1977,25/07/2020,24/08/2020,13847,58351,12451,208,533,13,65,33,0,13,2,867,63,32,,
PDG,KT1AB,PDGKT1AB,TOSHIBA,01900068,525/230/22,333.3,2015,09/07/2021,09/07/2021,8928,30297,1648,345,2537,1207,612,851,78,186,0,5816,,6,เนื่องจาก BUSHING KT1AB ระเบิด,
KB2,KT1A,KB2KT1A,JEUMONT,92198,230/115/22,200,1995,22/09/2019,27/09/2019,8658,38241,2187,141,571,2469,60,3394,557,1800,143,9135,74,14,-,
BN,KT3A,BNKT3A,ABB,103827,230/69,200,2008,12/05/2019,25/05/2019,7237,42914,5378,1085,15,72,6,43,21,40,0,1282,68,12,-,
NCO,KT2AA,NCOKT2AA,JEUMONT,94440,525/230/22,200,2003,24/06/2019,24/06/2019,6054,26457,2457,124,6,17,6,2,12,2,5,174,-,6,-,
LE,KT1A,LEKT1A,RADE KONCAR,338028,115/22,50,2004,04/04/2019,07/04/2019,7348,44065,0,0,704,174,586,219,12,54,0,1749,40,8,"Tx.trip Buchholz relay,transformer diff.relayมีน้ำมันไหลออกที่pressure relief device.",
KB2,KT1A,KB2KT1A,JEUMONT,92198,230/115/22,200,1995,11/03/2019,18/03/2019,9304,31757,1873,118,484,1541,57,2079,387,1050,97,5813,68,13,-,
BLG,KT2A,BLGKT2A,ELIN,535956,107/34.85,8,1977,06/04/2019,05/07/2019,13330,45288,2146,373,41,8,56,24,2,11,0,515,66,29,-,
SA1,KT4A,SA1KT4A,DAIHEN,5BK013202,230/121/22,200,2006,28/09/2020,28/09/2020,6478,44257,4798,120,66,70,5,6,145,0,80,459,80,8,,
TTK,KT3AC,TTKKT3AC,JEUMONT,95770,500,200,2008,24/04/2021,04/06/2021,4790,41340,3830,371,91,121,5,180,26,107,10,911,59,12,,
TTK,KT3AC,TTKKT3AC,JEUMONT,95770,500,200,2008,19/06/2021,21/06/2021,3832,39405,7436,934,51,229,5,291,32,147,0,1689,55,12,,
KB2,KT1A,KB2KT1A,JEUMONT,92198,230/115/22,200,1995,05/10/2019,06/10/2019,10321,45227,2047,138,250,1820,47,2734,459,1441,131,7020,70,11,oil temperature alarm,
CT,KT4A,CTKT4A,ABB,504005,230/121/21,200,2018,16/06/2023,22/06/2023,6208,46790,414,27,44,0,43,16,4,9,557,700,58,7,,
HY2,KT4A,HY2KT4A,JEUMONT SCHENI,94170,230/121/33,200,2002,11/11/2019,12/11/2019,4973,43787,5845,520,141,147,42,81,44,54,17,1046,58,25,Fault Trip มี Bushing เสียหาย,
BN,KT3A,BNKT3A,ABB,103827,230/69,200,2008,04/11/2019,14/12/2019,11420,62697,5078,1063,10,57,4,38,24,51,0,1247,66,9,-,
BN,KT3A,BNKT3A,ABB,103827,230/69,200,2008,03/06/2020,03/07/2020,9249,51994,5123,1255,16,63,4,40,28,0,0,1406,68,11,,
SA1,KT4A,SA1KT4A,DAIHEN,5BK013202,230/121/22,200,2006,29/09/2020,29/09/2020,7745,41773,4752,118,56,66,4,5,163,0,79,491,,9,เก็บครั้งที่2และทดสอบครั้งที่2,
SA1,KT4A,SA1KT4A,DAIHEN,5BK013202,230/121/22,200,2006,02/10/2020,02/10/2020,6423,33747,5664,133,53,67,4,8,166,0,109,540,42,12,หลังจ่าย No Load ประมาณ 2 วัน,
BLG,KT2A,BLGKT2A,ELIN,535956,107/34.85,8,1977,06/09/2019,18/10/2019,12926,47571,2138,450,23,9,38,26,0,14,1,561,-64,24,-,
BLG,KT2A,BLGKT2A,ELIN,535956,107/34.85,8,1977,25/07/2020,24/08/2020,10863,53477,1683,197,38,0,37,15,6,0,59,352,67,16,,
SR2,KT1A,SR2KT1A,MITSUBISHI,573077,115/22,40,1998,18/03/2020,18/03/2020,3636,39804,2305,52,112,92,363,89,259,19,124,1110,58,20,"ตามผล C2H2
C2H2",
LE,KT1A,LEKT1A,RADE KONCAR,338028,115/22,50,2004,05/04/2019,07/04/2019,10372,46921,0,0,302,76,340,135,9,37,0,899,40,8,"Tx.tripBuchholz relay,transformer diff.relayมีน้ำมันไหลออกที่pressure relief device.,เก็บน้ำมันที่buchholz relay.",
PHG,KT1A,PHGKT1A,JEUMONT,92199,230/115/22,200,1995,22/09/2019,27/09/2019,8569,40105,2269,146,449,378,340,434,78,193,15,2033,-,10,-,
SR2,KT1A,SR2KT1A,MITSUBISHI,573077,115/22,40,1998,20/03/2020,21/03/2020,5253,50568,2013,49,78,76,320,70,226,0,118,937,62,21,ตามผล C2H2,
