Sample_ID,Label,H2,CH4,C2H2,C2H4,C2H6,CO,CO2,Source_Type,Equipment_Group,Source_Description,Source_Location,Source_Ref
1,Normal,100,200,20,200,200,1000,10000,Population-level 90% typical normal value,Power transformer without communicating OLTC,1980 Alsthom,"Duval & de Pablo (2001), Annex 2, Table 1",2
2,Normal,105,125,10,166,71,2000,18000,Population-level 90% typical normal value,Power transformer without communicating OLTC,1982 Asinel,"Duval & de Pablo (2001), Annex 2, Table 1",2
3,Normal,100,50,15,50,65,500,5000,Population-level 90% typical normal value,Power transformer without communicating OLTC,1985 Chili,"Duval & de Pablo (2001), Annex 2, Table 1",2
4,Normal,100,70,10,170,70,1000,10000,Population-level 90% typical normal value,Power transformer without communicating OLTC,1988 Asinel,"Duval & de Pablo (2001), Annex 2, Table 1",2
5,Normal,200,50,3,200,50,1000,20000,Population-level 90% typical normal value,Power transformer without communicating OLTC,1992 Vattenfall,"Duval & de Pablo (2001), Annex 2, Table 1",4
6,Normal,125,100,20,150,100,500,6000,Population-level 90% typical normal value,Power transformer without communicating OLTC,1993 Haeffely,"Duval & de Pablo (2001), Annex 2, Table 1",4
7,Normal,100,70,10,170,70,1000,10000,Population-level 90% typical normal value,Power transformer without communicating OLTC,1993 Asinel,"Duval & de Pablo (2001), Annex 2, Table 1",4
8,Normal,95,280,10,150,250,700,8000,Population-level 90% typical normal value,Power transformer without communicating OLTC,1995 Enel,"Duval & de Pablo (2001), Annex 2, Table 1",4
9,Normal,60,40,3,60,50,540,5100,Population-level 90% typical normal value,Power transformer without communicating OLTC,1996 Labelec,"Duval & de Pablo (2001), Annex 2, Table 1",9
10,Normal,84,79,56,166,52,673,8068,Population-level 90% typical normal value,Power transformer without communicating OLTC,1996 Laborelec (tight OLTC),"Duval & de Pablo (2001), Annex 2, Table 1",9
11,Normal,66,111,15,110,90,865,12670,Population-level 90% typical normal value,Power transformer without communicating OLTC,1996 Laborelec (no OLTC),"Duval & de Pablo (2001), Annex 2, Table 1",9
12,Normal,235,180,336,145,270,672,4256,Population-level 90% typical normal value,Power transformer with communicating OLTC,1976 LCIE,"Duval & de Pablo (2001), Annex 2, Table 2",1
13,Normal,250,150,150,250,150,1000,10000,Population-level 90% typical normal value,Power transformer with communicating OLTC,1988 Asinel,"Duval & de Pablo (2001), Annex 2, Table 2",2
14,Normal,200,50,30,200,50,1000,20000,Population-level 90% typical normal value,Power transformer with communicating OLTC,1992 Vattenfall,"Duval & de Pablo (2001), Annex 2, Table 2",4
15,Normal,134,224,154,224,550,672,3584,Population-level 90% typical normal value,Power transformer with communicating OLTC,1992 LCIE,"Duval & de Pablo (2001), Annex 2, Table 2",4
16,Normal,200,100,50,100,100,500,10000,Population-level 90% typical normal value,Power transformer with communicating OLTC,1993 Enel,"Duval & de Pablo (2001), Annex 2, Table 2",4
17,Normal,250,190,180,250,180,1000,10000,Population-level 90% typical normal value,Power transformer with communicating OLTC,1993 Asinel,"Duval & de Pablo (2001), Annex 2, Table 2",4
18,Normal,75,35,80,110,50,400,5300,Population-level 90% typical normal value,Power transformer with communicating OLTC,1996 Labelec,"Duval & de Pablo (2001), Annex 2, Table 2",9
19,Normal,151,131,266,250,73,848,11818,Population-level 90% typical normal value,Power transformer with communicating OLTC,1996 Laborelec,"Duval & de Pablo (2001), Annex 2, Table 2",9
20,Normal,8288,1120,19712,1344,784,448,5600,Population-level 90% typical normal value,OLTC,1992 LCIE,"Duval & de Pablo (2001), Annex 2, Table 3",4
21,Normal,31,6,1,3,8,260,705,Population-level 90% typical normal value,Instrument transformer,1986 Asinel (CTs),"Duval & de Pablo (2001), Annex 2, Table 4",2
22,Normal,50,10,5,10,10,1000,10000,Population-level 90% typical normal value,Instrument transformer,1988 Asinel,"Duval & de Pablo (2001), Annex 2, Table 4",2
23,Normal,6,11,1,3,7,250,800,Population-level 90% typical normal value,Instrument transformer,1993 Labelec,"Duval & de Pablo (2001), Annex 2, Table 4",9
24,Normal,150,120,1,40,130,1100,4000,Population-level 90% typical normal value,Instrument transformer,1993 Milan Vidmar,"Duval & de Pablo (2001), Annex 2, Table 4",9
25,Normal,20,30,2,4,25,330,900,Population-level 90% typical normal value,Instrument transformer,"1996 ABB (CT, rubber seal)","Duval & de Pablo (2001), Annex 2, Table 4",9
26,Normal,300,30,2,4,25,330,900,Population-level 90% typical normal value,Instrument transformer,"1996 ABB (CT, metal seal)","Duval & de Pablo (2001), Annex 2, Table 4",9
27,PD,37800,1740,8,8,249,56,197,Inspection-confirmed fault case,I,Corona and x-wax formation,PDF p.4 / printed p.34 / Table 2 / row 2,4
28,PD,9340,995,7,6,60,60,620,Inspection-confirmed fault case,I,Partial discharges,PDF p.4 / printed p.34 / Table 2 / row 5,15
29,PD,36036,4704,10,5,554,6,347,Inspection-confirmed fault case,I,X-wax deposits,PDF p.4 / printed p.34 / Table 2 / row 6,19
30,D1,305,100,541,161,33,440,3700,Inspection-confirmed fault case,P,Sparking between HV braided connection and isolated copper tube,PDF p.5 / printed p.35 / Table 3 / row 2,3
31,D1,35,6,482,26,3,200,2240,Inspection-confirmed fault case,S,Selector breaking current in selector tank,PDF p.5 / printed p.35 / Table 3 / row 3,3
32,D1,543,120,1880,411,41,76,2800,Inspection-confirmed fault case,U,Continuous sparking between metal cups and earthed bolts in winding,PDF p.5 / printed p.35 / Table 3 / row 4,3
33,D1,1230,163,692,233,27,130,115,Inspection-confirmed fault case,P,Tracking to HV bushing,PDF p.5 / printed p.35 / Table 3 / row 5,4
