transformer_id,loc,name,ser,codetx,mfg,sample_day,tested_day,year_energized,mva,kv,temp,water,h2,ch4,c2h6,c2h4,c2h2,co,co2,o2,n2,c3h6,c3h8,tcg,nb
01900067,PDG,KT1AA,01900067,PDGKT1AA,TOSHIBA,2019-03-16,2019-04-01,2015,333.3,525/230/22,54,14,14.0,2.0,0.0,0.0,0.0,112.0,2301.0,8441.0,35721.0,0.0,0.0,128.0,
01900067,PDG,KT1AA,01900067,PDGKT1AA,TOSHIBA,2019-09-20,2019-10-26,2015,333.3,525/230/22,55,24,5.0,2.0,0.0,0.0,0.0,113.0,2682.0,4765.0,19214.0,0.0,0.0,120.0,
01900067,PDG,KT1AA,01900067,PDGKT1AA,TOSHIBA,2020-03-21,2020-04-10,2015,333.3,525/230/22,54,18,56.0,3.0,1.0,0.0,0.0,162.0,730.0,7610.0,32950.0,0.0,1.0,222.0,
01900067,PDG,KT1AA,01900067,PDGKT1AA,TOSHIBA,2020-09-05,2020-09-19,2015,333.3,525/230/22,54,19,14.0,0.0,0.0,0.0,0.0,242.0,1467.0,6724.0,28190.0,0.0,0.0,256.0,
01900067,PDG,KT1AA,01900067,PDGKT1AA,TOSHIBA,2021-03-15,2021-05-02,2015,333.3,525/230/22,54,19,43.0,0.0,4.0,0.0,0.0,113.0,634.0,3990.0,26800.0,3.0,3.0,160.0,
01900067,PDG,KT1AA,01900067,PDGKT1AA,TOSHIBA,2021-07-09,2021-07-09,2015,333.3,525/230/22,51,3,8.0,4.0,1.0,0.0,0.0,298.0,1412.0,8543.0,31389.0,1.0,1.0,311.0,เนื่องจาก BUSHING KT1AB ระเบิด
01900067,PDG,KT1AA,01900067,PDGKT1AA,TOSHIBA,2021-07-27,2021-10-08,2015,333.3,525/230/22,51,12,5.0,0.0,0.0,0.0,0.0,12.0,391.0,34260.0,68108.0,0.0,0.0,17.0,หลังทดสอบทางไฟฟ้า
01900067,PDG,KT1AA,01900067,PDGKT1AA,TOSHIBA,2021-09-14,2021-11-13,2015,333.3,525/230/22,50,11,1.0,0.0,0.0,0.0,0.0,31.0,599.0,4542.0,13779.0,1.0,0.0,32.0,
01900067,PDG,KT1AA,01900067,PDGKT1AA,TOSHIBA,2022-03-18,2022-03-31,2015,333.3,525/230/22,53,7,6.0,1.0,0.0,0.0,0.0,38.0,661.0,4952.0,14818.0,0.0,0.0,45.0,
01900067,PDG,KT1AA,01900067,PDGKT1AA,TOSHIBA,2022-09-18,2022-09-23,2015,333.3,525/230/22,54,12,4.0,1.0,0.0,0.0,0.0,33.0,624.0,6000.0,22130.0,0.0,0.0,38.0,
01900067,PDG,KT1AA,01900067,PDGKT1AA,TOSHIBA,2023-06-26,2023-07-16,2015,333.3,525/230/22,54,12,6.0,10.0,1.0,1.0,0.0,47.0,652.0,6601.0,19061.0,1.0,1.0,65.0,
01900067,PDG,KT1AA,01900067,PDGKT1AA,TOSHIBA,2023-11-23,2024-01-26,2015,333.3,525/230/22,48,28,26.0,0.0,1.0,0.0,0.0,151.0,1819.0,12771.0,46285.0,1.0,2.0,178.0,
01900067,PDG,KT1AA,01900067,PDGKT1AA,TOSHIBA,2024-04-21,2024-04-24,2015,333.3,525/230/22,50,14,11.0,0.0,0.0,0.0,0.0,158.0,1935.0,5707.0,17088.0,0.0,0.0,169.0,
01900068,PDG,KT1AB,01900068,PDGKT1AB,TOSHIBA,2019-03-16,2019-04-01,2015,333.3,525/230/22,54,11,17.0,3.0,0.0,0.0,0.0,106.0,1448.0,7773.0,35473.0,0.0,0.0,126.0,
01900068,PDG,KT1AB,01900068,PDGKT1AB,TOSHIBA,2019-09-20,2019-10-26,2015,333.3,525/230/22,55,25,5.0,2.0,1.0,0.0,0.0,137.0,1812.0,5545.0,20297.0,0.0,0.0,145.0,
01900068,PDG,KT1AB,01900068,PDGKT1AB,TOSHIBA,2020-03-21,2020-04-10,2015,333.3,525/230/22,72,10,48.0,23.0,5.0,0.0,0.0,162.0,1858.0,9420.0,40700.0,4.0,4.0,238.0,
01900068,PDG,KT1AB,01900068,PDGKT1AB,TOSHIBA,2020-09-05,2020-09-19,2015,333.3,525/230/22,54,19,14.0,0.0,0.0,0.0,0.0,243.0,1421.0,5447.0,21850.0,0.0,0.0,257.0,
01900068,PDG,KT1AB,01900068,PDGKT1AB,TOSHIBA,2021-03-15,2021-05-02,2015,333.3,525/230/22,52,18,34.0,0.0,2.0,0.0,0.0,141.0,846.0,4510.0,29280.0,2.0,2.0,177.0,
01900068,PDG,KT1AB,01900068,PDGKT1AB,TOSHIBA,2021-07-09,2021-07-09,2015,333.3,525/230/22,49,6,2537.0,1207.0,78.0,851.0,612.0,345.0,1648.0,8928.0,30297.0,186.0,0.0,5630.0,เนื่องจาก BUSHING KT1AB ระเบิด
01900068,PDG,KT1AB,01900068,PDGKT1AB,TOSHIBA,2021-09-17,2021-09-21,2015,333.3,525/230/22,48,52,46.0,263.0,54.0,467.0,0.0,36.0,1038.0,21913.0,68838.0,148.0,0.0,866.0,"Note หลังจากพังและได้ทำ Purifyของ PDG#KT1AB """"TOSHIBA"""" เพื่อจะนำน้ำมันไปใช้งาน"
01900068,PDG,KT1AB,01900068,PDGKT1AB,TOSHIBA,2023-11-29,2023-12-02,2015,333.3,525/230/22,30,5,0.0,0.0,0.0,0.0,0.0,3.0,71.0,6458.0,13935.0,0.0,0.0,3.0,
01900068,PDG,KT1AB,01900068,PDGKT1AB,TOSHIBA,2024-02-22,2024-03-02,2015,333.3,525/230/22,55,8,14.0,0.0,1.0,0.0,0.0,15.0,313.0,13410.0,26501.0,1.0,1.0,30.0,
01900068,PDG,KT1AB,01900068,PDGKT1AB,TOSHIBA,2024-04-21,2024-04-24,2015,333.3,525/230/22,50,10,1.0,2.0,1.0,0.0,0.0,30.0,363.0,7682.0,21433.0,0.0,0.0,34.0,
01900069,PDG,KT1AC,01900069,PDGKT1AC,TOSHIBA,2019-03-16,2019-04-01,2015,333.3,525/230/22,54,14,8.0,8.0,0.0,0.0,0.0,113.0,1414.0,8419.0,35659.0,0.0,0.0,129.0,
01900069,PDG,KT1AC,01900069,PDGKT1AC,TOSHIBA,2019-09-20,2019-10-26,2015,333.3,525/230/22,56,16,3.0,5.0,2.0,0.0,0.0,151.0,1681.0,3479.0,19335.0,0.0,0.0,161.0,
01900069,PDG,KT1AC,01900069,PDGKT1AC,TOSHIBA,2020-03-21,2020-04-10,2015,333.3,525/230/22,54,18,47.0,5.0,2.0,0.0,0.0,174.0,1612.0,10170.0,35400.0,0.0,2.0,228.0,
01900069,PDG,KT1AC,01900069,PDGKT1AC,TOSHIBA,2020-09-05,2020-09-19,2015,333.3,525/230/22,54,22,10.0,0.0,8.0,0.0,0.0,230.0,1171.0,10314.0,33575.0,0.0,0.0,248.0,
01900069,PDG,KT1AC,01900069,PDGKT1AC,TOSHIBA,2021-03-15,2021-05-02,2015,333.3,525/230/22,53,25,46.0,0.0,2.0,0.0,0.0,128.0,582.0,5080.0,40570.0,17.0,4.0,176.0,
01900069,PDG,KT1AC,01900069,PDGKT1AC,TOSHIBA,2021-07-09,2021-07-09,2015,333.3,525/230/22,51,5,10.0,7.0,2.0,2.0,0.0,320.0,1247.0,7630.0,28595.0,2.0,1.0,341.0,เนื่องจาก BUSHING KT1AB ระเบิด
01900069,PDG,KT1AC,01900069,PDGKT1AC,TOSHIBA,2021-07-27,2021-10-08,2015,333.3,525/230/22,51,18,6.0,0.0,0.0,0.0,0.0,11.0,344.0,31404.0,67620.0,0.0,0.0,17.0,หลังทดสอบทางไฟฟ้า
01900069,PDG,KT1AC,01900069,PDGKT1AC,TOSHIBA,2021-09-14,2021-11-13,2015,333.3,525/230/22,50,12,2.0,0.0,1.0,0.0,0.0,27.0,553.0,5931.0,15193.0,1.0,1.0,30.0,
01900069,PDG,KT1AC,01900069,PDGKT1AC,TOSHIBA,2022-03-18,2022-04-01,2015,333.3,525/230/22,63,8,1.0,2.0,1.0,0.0,0.0,47.0,619.0,21101.0,63435.0,0.0,0.0,51.0,
01900069,PDG,KT1AC,01900069,PDGKT1AC,TOSHIBA,2022-09-18,2022-09-23,2015,333.3,525/230/22,54,10,7.0,1.0,0.0,2.0,0.0,41.0,665.0,25420.0,64460.0,2.0,0.0,51.0,
01900069,PDG,KT1AC,01900069,PDGKT1AC,TOSHIBA,2023-06-26,2023-07-17,2015,333.3,525/230/22,54,20,9.0,0.0,0.0,0.0,0.0,80.0,843.0,11918.0,43829.0,0.0,0.0,89.0,
01900069,PDG,KT1AC,01900069,PDGKT1AC,TOSHIBA,2023-11-23,2024-01-26,2015,333.3,525/230/22,47,31,19.0,2.0,0.0,0.0,0.0,178.0,3064.0,12629.0,48537.0,1.0,0.0,199.0,
01900069,PDG,KT1AC,01900069,PDGKT1AC,TOSHIBA,2024-04-21,2024-04-24,2015,333.3,525/230/22,56,6,1.0,3.0,2.0,1.0,0.0,131.0,684.0,6656.0,19540.0,3.0,2.0,138.0,
04900004,BSP2,KT1AA,04900004,BSP2KT1AA,TMT&D,2020-04-27,2020-05-03,2018,333.33,500,54,14,5.0,2.0,1.0,0.0,0.0,119.0,721.0,6349.0,26053.0,0.0,1.0,127.0,
04900004,BSP2,KT1AA,04900004,BSP2KT1AA,TMT&D,2021-04-19,2021-06-11,2018,333.33,500,62,19,46.0,1.0,1.0,0.0,0.0,79.0,667.0,16370.0,37240.0,0.0,0.0,127.0,
04900004,BSP2,KT1AA,04900004,BSP2KT1AA,TMT&D,2021-08-20,2021-11-11,2018,333.33,500,56,12,9.0,0.0,0.0,0.0,0.0,25.0,209.0,21989.0,43834.0,0.0,0.0,34.0,
04900004,BSP2,KT1AA,04900004,BSP2KT1AA,TMT&D,2022-04-23,2022-05-06,2018,333.33,500,55,13,12.0,2.0,8.0,0.0,0.0,56.0,913.0,12944.0,51337.0,0.0,0.0,78.0,
04900004,BSP2,KT1AA,04900004,BSP2KT1AA,TMT&D,2022-10-16,2023-01-27,2018,333.33,500,55,17,6.0,1.0,0.0,0.0,0.0,53.0,922.0,36005.0,59136.0,0.0,0.0,60.0,
