transformer_id,loc,name,ser,ser_is_synthetic,codetx,mfg,sample_day,tested_day,year_energized,mva,kv,temp,water,h2,ch4,c2h6,c2h4,c2h2,co,co2,o2,n2,c3h6,c3h8,tdcg_raw,tdcg_recalc,tdcg,tcg,tdcg_complete,tdcg_source,tdcg_difference_raw_recalc,nb
01900067,PDG,KT1AA,01900067,0,PDGKT1AA,TOSHIBA,2019-03-16,2019-04-01,2015.0,333.3,525/230/22,54.0,14.0,14.0,2.0,0.0,0.0,0.0,112.0,2301.0,8441.0,35721.0,0.0,0.0,128.0,128.0,128.0,128.0,1,raw_available,0.0,
01900067,PDG,KT1AA,01900067,0,PDGKT1AA,TOSHIBA,2019-09-20,2019-10-26,2015.0,333.3,525/230/22,55.0,24.0,5.0,2.0,0.0,0.0,0.0,113.0,2682.0,4765.0,19214.0,0.0,0.0,120.0,120.0,120.0,120.0,1,raw_available,0.0,
01900067,PDG,KT1AA,01900067,0,PDGKT1AA,TOSHIBA,2020-03-21,2020-04-10,2015.0,333.3,525/230/22,54.0,18.0,56.0,3.0,1.0,0.0,0.0,162.0,730.0,7610.0,32950.0,0.0,1.0,223.0,222.0,223.0,223.0,1,raw_available,1.0,
01900067,PDG,KT1AA,01900067,0,PDGKT1AA,TOSHIBA,2020-09-05,2020-09-19,2015.0,333.3,525/230/22,54.0,19.0,14.0,0.0,0.0,0.0,0.0,242.0,1467.0,6724.0,28190.0,0.0,0.0,256.0,256.0,256.0,256.0,1,raw_available,0.0,
01900067,PDG,KT1AA,01900067,0,PDGKT1AA,TOSHIBA,2021-03-15,2021-05-02,2015.0,333.3,525/230/22,54.0,19.0,43.0,0.0,4.0,0.0,0.0,113.0,634.0,3990.0,26800.0,3.0,3.0,166.0,160.0,166.0,166.0,1,raw_available,6.0,
01900067,PDG,KT1AA,01900067,0,PDGKT1AA,TOSHIBA,2021-07-09,2021-07-09,2015.0,333.3,525/230/22,,3.0,8.0,4.0,1.0,0.0,0.0,298.0,1412.0,8543.0,31389.0,1.0,1.0,313.0,311.0,313.0,313.0,1,raw_available,2.0,เนื่องจาก BUSHING KT1AB ระเบิด
01900067,PDG,KT1AA,01900067,0,PDGKT1AA,TOSHIBA,2021-07-27,2021-10-08,2015.0,333.3,525/230/22,,12.0,5.0,0.0,0.0,0.0,0.0,12.0,391.0,34260.0,68108.0,0.0,0.0,5.0,17.0,5.0,5.0,1,raw_available,-12.0,หลังทดสอบทางไฟฟ้า
01900067,PDG,KT1AA,01900067,0,PDGKT1AA,TOSHIBA,2021-09-14,2021-11-13,2015.0,333.3,525/230/22,50.0,11.0,1.0,0.0,0.0,0.0,0.0,31.0,599.0,4542.0,13779.0,1.0,0.0,33.0,32.0,33.0,33.0,1,raw_available,1.0,
01900067,PDG,KT1AA,01900067,0,PDGKT1AA,TOSHIBA,2022-03-18,2022-03-31,2015.0,333.3,525/230/22,53.0,7.0,6.0,1.0,0.0,0.0,0.0,38.0,661.0,4952.0,14818.0,0.0,0.0,45.0,45.0,45.0,45.0,1,raw_available,0.0,
01900067,PDG,KT1AA,01900067,0,PDGKT1AA,TOSHIBA,2022-09-18,2022-09-23,2015.0,333.3,525/230/22,54.0,12.0,4.0,1.0,0.0,0.0,0.0,33.0,624.0,6000.0,22130.0,0.0,0.0,38.0,38.0,38.0,38.0,1,raw_available,0.0,
