column,missing_count,missing_ratio,dtype
nb,4170,91.43,object
temp,335,7.34,float64
water,38,0.83,float64
year_energized,7,0.15,float64
c2h2,0,0.0,float64
c2h4,0,0.0,float64
c2h6,0,0.0,float64
c3h6,0,0.0,float64
c3h8,0,0.0,float64
ch4,0,0.0,float64
co,0,0.0,float64
co2,0,0.0,float64
codetx,0,0.0,object
h2,0,0.0,float64
kv,0,0.0,object
loc,0,0.0,object
mfg,0,0.0,object
mva,0,0.0,object
n2,0,0.0,float64
name,0,0.0,object
o2,0,0.0,float64
sample_day,0,0.0,datetime64[ns]
ser,0,0.0,object
ser_is_synthetic,0,0.0,int8
tcg,0,0.0,float64
tdcg,0,0.0,float64
tdcg_complete,0,0.0,int8
tdcg_difference_raw_recalc,0,0.0,float64
tdcg_raw,0,0.0,float64
tdcg_recalc,0,0.0,float64
tdcg_source,0,0.0,object
tested_day,0,0.0,datetime64[ns]
transformer_id,0,0.0,object
