transformer_id,n_samples,n_joint_active,coarse_agreement_rate,fine_agreement_rate,traditional_abstain_count,student_abstain_count,student_used_as_fallback_count,physical_conflict_count
01900067,13,8,0.0,0.0,5,0,5,8
01900068,10,9,0.3333333333333333,0.2222222222222222,1,0,1,6
01900069,13,11,0.36363636363636365,0.0,2,0,2,7
04900004,9,7,0.2857142857142857,0.14285714285714285,2,0,2,5
04900005,8,6,0.3333333333333333,0.16666666666666666,2,0,2,4
04900006,9,6,0.5,0.3333333333333333,3,0,3,3
05900001,9,8,0.25,0.0,1,0,1,6
05900002,9,7,0.14285714285714285,0.0,2,0,2,6
05900003,9,7,0.2857142857142857,0.2857142857142857,2,0,2,5
103710,7,4,0.25,0.25,3,0,3,3
103711,12,12,0.08333333333333333,0.0,0,0,0,11
103712,12,6,0.0,0.0,6,0,6,6
103724,9,5,0.4,0.2,4,0,4,3
103725,9,6,0.3333333333333333,0.16666666666666666,3,0,3,4
103726,7,6,0.16666666666666666,0.16666666666666666,1,0,1,5
103727,9,6,0.0,0.0,3,0,3,6
103728,8,8,0.125,0.0,0,0,0,7
103729,8,8,0.0,0.0,0,0,0,8
103730,9,8,1.0,0.0,1,0,1,0
103798,10,7,0.5714285714285714,0.2857142857142857,3,0,3,3
103799,10,8,0.75,0.0,2,0,2,2
103800,10,9,0.6666666666666666,0.3333333333333333,1,0,1,3
103826,10,8,0.5,0.25,2,0,2,4
103827,10,8,1.0,0.25,2,0,2,0
103916,9,8,0.25,0.125,1,0,1,6
103917,12,12,1.0,0.5,0,0,0,0
103922,9,8,0.125,0.0,1,0,1,7
103923,9,9,0.1111111111111111,0.1111111111111111,0,0,0,8
110-73311,4,4,0.25,0.25,0,0,0,3
11135210,10,9,0.4444444444444444,0.2222222222222222,1,0,1,5
11135211,10,10,0.6,0.2,0,0,0,4
11135212,10,10,0.5,0.2,0,0,0,5
11155008,10,10,0.2,0.1,0,0,0,8
11155009,10,9,0.5555555555555556,0.1111111111111111,1,0,1,4
11155010,10,9,0.4444444444444444,0.3333333333333333,1,0,1,5
136698,1,1,1.0,0.0,0,0,0,0
136702,4,4,0.25,0.25,0,0,0,3
136703,6,5,0.8,0.8,1,0,1,1
136704,5,5,1.0,1.0,0,0,0,0
145496,5,3,0.0,0.0,2,0,2,3
1G9579T1,1,1,1.0,0.0,0,0,0,0
217841-01,16,14,0.14285714285714285,0.14285714285714285,2,0,2,12
217841-02,15,13,0.23076923076923078,0.07692307692307693,2,0,2,10
217841-03,16,16,1.0,0.9375,0,0,0,0
217841-04,15,9,0.7777777777777778,0.2222222222222222,6,0,6,2
217841-05,15,14,0.35714285714285715,0.0,1,0,1,9
217841-06,15,13,0.46153846153846156,0.07692307692307693,2,0,2,7
21784108,9,9,0.4444444444444444,0.2222222222222222,0,0,0,5
21784109,10,7,0.5714285714285714,0.42857142857142855,3,0,3,3
21784110,10,8,0.25,0.125,2,0,2,6
21784112,11,11,1.0,0.7272727272727273,0,0,0,0
21784113,10,9,0.3333333333333333,0.1111111111111111,1,0,1,6
21784114,10,9,0.6666666666666666,0.3333333333333333,1,0,1,3
21784115,10,10,0.4,0.2,0,0,0,6
21784116,10,9,0.6666666666666666,0.1111111111111111,1,0,1,3
21784117,10,8,0.625,0.25,2,0,2,3
217914-01,12,10,0.0,0.0,2,0,2,10
275050119601,11,11,0.09090909090909091,0.09090909090909091,0,0,0,10
275050219601,10,10,0.0,0.0,0,0,0,10
275050229801,11,10,0.0,0.0,1,0,1,10
275050239601,11,9,0.0,0.0,2,0,2,9
28122,9,6,0.8333333333333334,0.16666666666666666,3,0,3,1
338025,5,5,0.6,0.4,0,0,0,2
338026,8,5,0.8,0.4,3,0,3,1
338027,7,7,0.5714285714285714,0.0,0,0,0,3
338028,10,8,0.5,0.5,2,0,2,4
338029,7,4,1.0,0.0,3,0,3,0
338030,5,5,0.6,0.2,0,0,0,2
338031,7,4,0.75,0.5,3,0,3,1
338032,8,8,1.0,0.0,0,0,0,0
