labeling_method,model,accuracy,f1_macro
keygas_fault,RF,0.9952915186693234,0.9251030826411444
keygas_fault,RF+SMOTE,0.9949987005111323,0.9332782672183783
keygas_fault,XGBoost,0.9961747379364116,0.9513314529588802
keygas_fault,XGBoost+SMOTE,0.992351641687603,0.917966674594157
keygas_fault,CatBoost,0.9964692887464264,0.9483902947007448
keygas_fault,CatBoost+SMOTE,0.9935272459499263,0.9220099379119233
iec_fault,RF,0.988764516926118,0.8848332155261918
iec_fault,RF+SMOTE,0.9929701013096122,0.9426817186602598
iec_fault,XGBoost,0.9950827773659501,0.9455813446817494
iec_fault,XGBoost+SMOTE,0.9943785520138373,0.9485723538846667
iec_fault,CatBoost,0.9922708178897949,0.9176124714755552
iec_fault,CatBoost+SMOTE,0.990867309117865,0.9266121458201789
rogers_fault,RF,0.9648648648648649,0.9410225919846067
rogers_fault,RF+SMOTE,0.9675675675675676,0.9519092598713899
rogers_fault,XGBoost,0.9648648648648649,0.9378811084737251
rogers_fault,XGBoost+SMOTE,0.9675675675675676,0.9452452909356518
rogers_fault,CatBoost,0.9702702702702701,0.9542505473656275
rogers_fault,CatBoost+SMOTE,0.9675675675675676,0.9529576324367902
doernenburg_fault,RF,0.65,0.5733333333333335
doernenburg_fault,RF+SMOTE,0.65,0.5733333333333335
doernenburg_fault,XGBoost,0.7,0.6666666666666667
doernenburg_fault,XGBoost+SMOTE,0.7,0.6666666666666667
doernenburg_fault,CatBoost,0.65,0.5733333333333335
doernenburg_fault,CatBoost+SMOTE,0.7,0.6000000000000001
duval_triangle_fault,RF,0.9916573017764913,0.6621761853897674
duval_triangle_fault,RF+SMOTE,0.9926108178670754,0.8117815666393673
duval_triangle_fault,XGBoost,0.9909427322776547,0.7661744727031694
duval_triangle_fault,XGBoost+SMOTE,0.9928491968897214,0.7995286819358398
duval_triangle_fault,CatBoost,0.9918953970145864,0.7671721547301147
duval_triangle_fault,CatBoost+SMOTE,0.9926111016516261,0.8065922086090357
duval_pentagon_fault,RF,0.907923390521488,0.7505709156875824
duval_pentagon_fault,RF+SMOTE,0.906253326538701,0.8111563990810822
duval_pentagon_fault,XGBoost,0.9343327104920446,0.8245048414244394
duval_pentagon_fault,XGBoost+SMOTE,0.9317128135439671,0.8453210917947558
duval_pentagon_fault,CatBoost,0.9367099824471999,0.7944552613820652
duval_pentagon_fault,CatBoost+SMOTE,0.933616443010022,0.8236738705795255
