iter	MultiClass
0	1.890523784
1	1.846575375
2	1.794528844
3	1.747002181
4	1.713275374
5	1.661576381
6	1.620944866
7	1.570994983
8	1.538262479
9	1.497607629
10	1.460901216
11	1.433556651
12	1.403501198
13	1.377745806
14	1.337778348
15	1.301986276
16	1.270394081
17	1.241653689
18	1.217105052
19	1.202242349
20	1.1820622
21	1.161261606
22	1.136863324
23	1.114936173
24	1.095621493
25	1.078242112
26	1.064813966
27	1.046596745
28	1.028791132
29	1.013798917
30	0.9998595214
31	0.9830681144
32	0.9682121654
33	0.9566779161
34	0.9425055354
35	0.9304499708
36	0.916939557
37	0.9066521956
38	0.8937597919
39	0.8824831195
40	0.8693787045
41	0.8535363614
42	0.8443251314
43	0.8341146306
44	0.821669403
45	0.8115004442
46	0.8016978103
47	0.7916415273
48	0.782535161
49	0.7782651472
50	0.7661184568
51	0.7589520487
52	0.7492141114
53	0.7390705046
54	0.7315218807
55	0.722419261
56	0.715598298
57	0.7067311757
58	0.6991200963
59	0.6918733448
60	0.6839165868
61	0.6769025873
62	0.6697903836
63	0.6641541578
64	0.654680382
65	0.6483197773
66	0.6403105298
67	0.6357561001
68	0.6286202806
69	0.6217950398
70	0.6161543021
71	0.6093717237
72	0.6034119156
73	0.5965570185
74	0.5922529129
75	0.587097421
76	0.582871005
77	0.5772239631
78	0.5707844281
79	0.563904719
80	0.5597302919
81	0.5543887842
82	0.5488463124
83	0.5440566125
84	0.539740472
85	0.5349679816
86	0.5302947351
87	0.526519868
88	0.5205406215
89	0.5159606955
90	0.5116181668
91	0.5069046857
92	0.5033178357
93	0.4996463896
94	0.4962939837
95	0.4930587532
96	0.4879043413
97	0.4840559381
98	0.4805841257
99	0.4779606398
100	0.4733204957
101	0.4695908941
102	0.4662172838
103	0.4636336738
104	0.4580125901
105	0.454696943
106	0.451001899
107	0.44666029
108	0.443151447
109	0.4413518525
110	0.4375467454
111	0.4343637711
112	0.4305877293
113	0.4270979527
114	0.4240653953
115	0.4216315786
116	0.4183925189
117	0.4152052138
118	0.4117880607
119	0.4086597649
120	0.4058165009
121	0.4028192869
122	0.3991584273
123	0.3955711284
124	0.3911798536
125	0.3895433319
126	0.3862333965
127	0.3834300261
128	0.3807290638
129	0.3776838148
130	0.3741824049
131	0.3714163875
132	0.3688243975
133	0.3670578532
134	0.3650528969
135	0.3612962644
136	0.3580819081
137	0.3556334377
138	0.3531713141
139	0.3500910413
140	0.3481152624
141	0.3449145239
142	0.3425436681
143	0.3399355261
144	0.3372393167
145	0.3344915429
146	0.3321067859
147	0.3295514063
148	0.32734686
149	0.3244827485
150	0.3222998701
151	0.3201544989
152	0.3176743824
153	0.3146025657
154	0.3126138584
155	0.3097609793
156	0.3069541538
157	0.3046512498
158	0.3030781273
159	0.3018134693
160	0.2989037874
161	0.2962925072
162	0.2938658128
163	0.2920813784
164	0.2897163274
165	0.2874477878
166	0.285706078
167	0.2843240579
168	0.2828288957
169	0.2812918106
170	0.2793340275
171	0.2779438343
172	0.2757484652
173	0.274092723
174	0.2721726368
175	0.2702332273
176	0.2681618579
177	0.2662170999
178	0.2639881619
179	0.2626784673
180	0.2615734227
181	0.2605680408
182	0.2589758722
183	0.2578274908
184	0.2561599187
185	0.254739847
186	0.2528464385
187	0.2510075314
188	0.2495427977
189	0.2478407308
190	0.246067638
191	0.2441832241
192	0.2428967929
193	0.2415474262
194	0.2400628623
195	0.2388153967
196	0.2370181016
197	0.2355859286
198	0.2336571911
199	0.2320139217
200	0.230557841
201	0.2290347563
202	0.228155324
203	0.2268344601
204	0.2255108597
205	0.2242394256
206	0.2229752247
207	0.221757087
208	0.2206046382
209	0.2193292538
210	0.2181293517
211	0.216590152
212	0.2154781203
213	0.2142208877
214	0.2135318095
215	0.2122402707
216	0.21089321
217	0.2095587003
218	0.2082331556
219	0.2070109555
220	0.2059079641
221	0.2049050436
222	0.2036566249
223	0.2031249082
224	0.2024247839
225	0.2013070851
226	0.1998695059
227	0.1989986341
228	0.1977790813
229	0.1966627992
230	0.1958746523
231	0.1948017485
232	0.1939100814
233	0.1929686608
234	0.1919097265
235	0.1908112968
236	0.1900938923
237	0.1887039161
238	0.1875231767
239	0.1866737289
240	0.1858488952
241	0.1848521993
242	0.1839402436
243	0.1829621465
244	0.1822162912
245	0.1815678333
246	0.18064568
247	0.1799772908
248	0.1790449055
249	0.1783178076
250	0.1774679168
251	0.1765153782
252	0.1758411667
253	0.1747808683
254	0.1739812926
255	0.1731909059
256	0.1721710286
257	0.1714839456
258	0.1708933959
259	0.170200702
260	0.1698567017
261	0.1688268067
262	0.16809265
263	0.1674140491
264	0.1667130667
265	0.166073795
266	0.1653018905
267	0.1644999015
268	0.1639331147
269	0.1630333294
270	0.1622752055
271	0.1614893808
272	0.1610653912
273	0.1606524964
274	0.1600482819
275	0.1592167862
276	0.1584176949
277	0.1576562385
278	0.1570178416
279	0.1564415121
280	0.1558302667
281	0.155531635
282	0.1547886056
283	0.1540493298
284	0.1535497313
285	0.1528418558
286	0.1522923851
287	0.1519099374
288	0.151162554
289	0.1506094666
290	0.1499347271
291	0.1493258536
292	0.1487103945
293	0.1481913798
294	0.1474847171
295	0.1467065004
296	0.1462680146
297	0.1458567837
298	0.145138663
299	0.1446406912
