iter	Passed	Remaining
0	3	952
1	4	740
2	7	743
3	10	759
4	12	754
5	15	754
6	17	752
7	20	751
8	22	718
9	24	717
10	27	720
11	31	745
12	33	743
13	36	741
14	38	740
15	41	734
16	43	731
17	46	731
18	49	727
19	51	726
20	54	721
21	56	719
22	59	715
23	61	711
24	64	709
25	66	704
26	69	698
27	70	682
28	72	676
29	74	673
30	77	669
31	79	665
32	81	662
33	83	656
34	86	653
35	88	648
36	91	652
37	94	651
38	96	646
39	98	643
40	101	638
41	103	636
42	105	633
43	108	630
44	111	633
45	113	629
46	116	625
47	118	621
48	120	617
49	122	614
50	124	610
51	127	606
52	129	601
53	132	604
54	134	600
55	136	595
56	139	592
57	141	588
58	143	585
59	145	582
60	147	579
61	149	575
62	152	573
63	154	569
64	157	567
65	159	564
66	161	560
67	163	557
68	165	553
69	167	550
70	169	547
71	171	544
72	174	542
73	176	538
74	178	536
75	181	533
76	183	530
77	185	527
78	187	525
79	189	522
80	191	519
81	194	516
82	196	514
83	198	511
84	200	507
85	202	504
86	204	501
87	206	498
88	209	496
89	212	496
90	214	493
91	216	490
92	219	487
93	221	485
94	223	482
95	225	479
96	228	477
97	230	474
98	232	471
99	234	468
100	236	466
101	239	464
102	241	461
103	243	458
104	245	455
105	247	453
106	249	450
107	251	447
108	253	444
109	255	441
110	257	438
111	259	435
112	262	433
113	264	431
114	266	428
115	268	426
116	271	423
117	273	421
118	275	419
119	277	416
120	280	414
121	282	411
122	284	408
123	286	406
124	288	404
125	290	401
126	293	399
127	295	397
128	297	394
129	300	392
130	302	389
131	304	387
132	306	385
133	308	382
134	310	379
135	313	377
136	315	375
137	317	372
138	319	370
139	322	368
140	324	365
141	326	362
142	328	360
143	330	357
144	332	355
145	334	353
146	337	351
147	339	348
148	342	346
149	344	344
150	346	341
151	349	339
152	351	337
153	354	336
154	357	334
155	359	332
156	362	329
157	365	328
158	367	326
159	370	324
160	372	321
161	375	319
162	378	317
163	380	315
164	382	313
165	385	311
166	387	308
167	389	306
168	392	303
169	394	301
170	398	300
171	400	298
172	403	296
173	405	293
174	407	291
175	410	289
176	413	287
177	416	285
178	418	282
179	420	280
180	422	277
181	424	275
182	427	273
183	429	270
184	431	268
185	433	265
186	436	263
187	438	261
188	440	258
189	442	256
190	445	253
191	447	251
192	449	249
193	451	246
194	453	244
195	456	242
196	459	240
197	461	237
198	463	235
199	465	232
200	467	230
201	470	228
202	472	225
203	474	223
204	477	221
205	480	219
206	482	216
207	484	214
208	486	211
209	489	209
210	491	207
211	493	204
212	495	202
213	498	200
214	500	197
215	502	195
216	505	193
217	507	190
218	509	188
219	511	185
220	513	183
221	515	181
222	522	180
223	524	177
224	526	175
225	528	173
226	530	170
227	532	168
228	534	165
229	537	163
230	539	161
231	541	158
232	543	156
233	545	153
234	547	151
235	549	149
236	551	146
237	554	144
238	556	141
239	559	139
240	561	137
241	563	135
242	566	132
243	568	130
244	570	128
245	572	125
246	575	123
247	578	121
248	580	118
249	582	116
250	585	114
251	587	111
252	589	109
253	591	107
254	593	104
255	595	102
256	599	100
257	601	97
258	602	95
259	605	93
260	606	90
261	609	88
262	611	86
263	614	83
264	616	81
265	619	79
266	622	76
267	624	74
268	626	72
269	628	69
270	630	67
271	633	65
272	635	62
273	637	60
274	639	58
275	641	55
276	643	53
277	646	51
278	647	48
279	650	46
280	652	44
281	654	41
282	655	39
283	658	37
284	660	34
285	661	32
286	664	30
287	665	27
288	667	25
289	669	23
290	671	20
291	673	18
292	675	16
293	677	13
294	680	11
295	682	9
296	684	6
297	686	4
298	689	2
299	691	0
