transformer_id,n_samples,agreement_rate,disagree_count,latest_student_fault,latest_traditional_fault,latest_severity_score,latest_severity_label,latest_sample_day
60492-004,6,0.0,6,CELLULOSE,MIXED,29.200000000000003,CRITICAL,2024-01-19 00:00:00
217841-03,16,0.0,16,THERMAL,T3,26.599999999999998,CRITICAL,2024-03-29 00:00:00
95770,20,0.0,20,THERMAL,MIXED,25.799999999999997,CRITICAL,2024-01-15 00:00:00
8T9670T4,5,0.0,5,CELLULOSE,MIXED,24.400000000000002,CRITICAL,2024-02-08 00:00:00
5A1594001,7,0.0,7,THERMAL,T1,24.4,CRITICAL,2024-03-12 00:00:00
91900005,9,0.0,9,THERMAL,THERMAL_OIL,23.6,CRITICAL,2023-11-26 00:00:00
103827,10,0.0,10,THERMAL,MIXED,23.2,CRITICAL,2023-11-24 00:00:00
8N5451T2,5,0.0,5,CELLULOSE,MIXED,23.0,CRITICAL,2024-05-11 00:00:00
103917,12,0.0,12,THERMAL,MIXED,22.200000000000003,CRITICAL,2024-02-12 00:00:00
217841-04,15,0.0,15,THERMAL,MIXED,22.2,CRITICAL,2024-03-24 00:00:00
EDP011203,6,0.0,6,THERMAL,T1,21.0,CRITICAL,2024-03-08 00:00:00
8T9664T4,5,0.0,5,CELLULOSE,MIXED,20.4,CRITICAL,2024-03-25 00:00:00
8T9668T2,4,0.0,4,CELLULOSE,MIXED,20.4,CRITICAL,2024-06-03 00:00:00
8T9669T2,5,0.0,5,CELLULOSE,MIXED,20.4,CRITICAL,2024-02-08 00:00:00
8T9668T4,5,0.0,5,CELLULOSE,MIXED,20.2,CRITICAL,2024-02-02 00:00:00
60545-001,4,0.0,4,THERMAL,THERMAL_OIL,20.0,CRITICAL,2024-04-20 00:00:00
5BK012301,7,0.0,7,THERMAL,T1,19.8,CRITICAL,2024-02-08 00:00:00
5BK012701,5,0.0,5,THERMAL,THERMAL_OIL,19.8,CRITICAL,2024-02-15 00:00:00
8T9795T2,4,0.0,4,CELLULOSE,MIXED,19.8,CRITICAL,2023-07-10 00:00:00
